,VJ.combi,count.seq,mouseID,analysis_type,filename,path
88,IGHV1-62_IGHJ2*01_38_1,2,m32,pos_YFP,IGHV1-62_IGHJ2-01_38_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-62_IGHJ2-01_38_1.aln.fasta
84,IGHV5-9_IGHJ2*01_36_1,2,m32,pos_YFP,IGHV5-9_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV5-9_IGHJ2-01_36_1.aln.fasta
86,IGHV1-85*01_IGHJ2*01_51_1,3,m32,pos_YFP,IGHV1-85-01_IGHJ2-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-85-01_IGHJ2-01_51_1.aln.fasta
85,IGHV5-17*01_IGHJ2*01_36_1,3,m32,pos_YFP,IGHV5-17-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV5-17-01_IGHJ2-01_36_1.aln.fasta
83,IGHV9-3*01_IGHJ3*01_39_1,3,m32,pos_YFP,IGHV9-3-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV9-3-01_IGHJ3-01_39_1.aln.fasta
82,IGHV1-64*01_IGHJ4*01_45_1,3,m32,pos_YFP,IGHV1-64-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-64-01_IGHJ4-01_45_1.aln.fasta
78,IGHV5-4*01_IGHJ4*01_42_1,3,m32,pos_YFP,IGHV5-4-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV5-4-01_IGHJ4-01_42_1.aln.fasta
76,IGHV1-22*01_IGHJ1*03_45_1,3,m32,pos_YFP,IGHV1-22-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-22-01_IGHJ1-03_45_1.aln.fasta
71,IGHV8-5*01_IGHJ3*01_48_1,3,m32,pos_YFP,IGHV8-5-01_IGHJ3-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV8-5-01_IGHJ3-01_48_1.aln.fasta
67,IGHV1-50*01_IGHJ2*01_42_1,3,m32,pos_YFP,IGHV1-50-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-50-01_IGHJ2-01_42_1.aln.fasta
66,IGHV1-72*01_IGHJ4*01_48_1,3,m32,pos_YFP,IGHV1-72-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-72-01_IGHJ4-01_48_1.aln.fasta
62,IGHV1-80*01_IGHJ4*01_27_1,3,m32,pos_YFP,IGHV1-80-01_IGHJ4-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-80-01_IGHJ4-01_27_1.aln.fasta
61,IGHV1-82*01_IGHJ2*01_45_1,3,m32,pos_YFP,IGHV1-82-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-82-01_IGHJ2-01_45_1.aln.fasta
59,IGHV9-4*01_IGHJ4*01_45_1,3,m32,pos_YFP,IGHV9-4-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV9-4-01_IGHJ4-01_45_1.aln.fasta
58,IGHV2-3*01_IGHJ1*03_51_1,3,m32,pos_YFP,IGHV2-3-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV2-3-01_IGHJ1-03_51_1.aln.fasta
56,IGHV1-82*01_IGHJ2*01_36_1,3,m32,pos_YFP,IGHV1-82-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-82-01_IGHJ2-01_36_1.aln.fasta
55,IGHV1-82*01_IGHJ3*01_30_1,3,m32,pos_YFP,IGHV1-82-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-82-01_IGHJ3-01_30_1.aln.fasta
51,IGHV1-18*01_IGHJ3*01_39_1,3,m32,pos_YFP,IGHV1-18-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-18-01_IGHJ3-01_39_1.aln.fasta
47,IGHV1-26*01_IGHJ3*01_42_1,3,m32,pos_YFP,IGHV1-26-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-26-01_IGHJ3-01_42_1.aln.fasta
44,IGHV1-78*01_IGHJ1*03_45_1,3,m32,pos_YFP,IGHV1-78-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-78-01_IGHJ1-03_45_1.aln.fasta
43,IGHV1-66*01_IGHJ4*01_33_1,3,m32,pos_YFP,IGHV1-66-01_IGHJ4-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-66-01_IGHJ4-01_33_1.aln.fasta
42,IGHV1-26*01_IGHJ3*01_45_1,3,m32,pos_YFP,IGHV1-26-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-26-01_IGHJ3-01_45_1.aln.fasta
41,IGHV2-6*03_IGHJ4*01_33_1,3,m32,pos_YFP,IGHV2-6-03_IGHJ4-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV2-6-03_IGHJ4-01_33_1.aln.fasta
40,IGHV1-9*01_IGHJ2*01_42_1,3,m32,pos_YFP,IGHV1-9-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV1-9-01_IGHJ2-01_42_1.aln.fasta
39,IGHV5-4*01_IGHJ2*01_45_1,3,m32,pos_YFP,IGHV5-4-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV5-4-01_IGHJ2-01_45_1.aln.fasta
38,IGHV3-6*01_IGHJ2*01_36_2,3,m32,pos_YFP,IGHV3-6-01_IGHJ2-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/pos_YFP_MIDs/m32_pos_YFP_IGHV3-6-01_IGHJ2-01_36_2.aln.fasta
