,VJ.combi,count.seq,mouseID,analysis_type,filename,path
80,IGHV5-9_IGHJ4*01_51_1,2,m11,pos_YFP,IGHV5-9_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV5-9_IGHJ4-01_51_1.aln.fasta
92,IGHV2-4_IGHJ1*03_60_1,2,m11,pos_YFP,IGHV2-4_IGHJ1-03_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV2-4_IGHJ1-03_60_1.aln.fasta
23,IGHV1-77*01_IGHJ2*01_36_1,3,m11,pos_YFP,IGHV1-77-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-77-01_IGHJ2-01_36_1.aln.fasta
17,IGHV1-76*01_IGHJ2*01_27_1,3,m11,pos_YFP,IGHV1-76-01_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-76-01_IGHJ2-01_27_1.aln.fasta
15,IGHV1-53*01_IGHJ1*03_54_1,3,m11,pos_YFP,IGHV1-53-01_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-53-01_IGHJ1-03_54_1.aln.fasta
9,IGHV2-4*01_IGHJ1*03_48_2,3,m11,pos_YFP,IGHV2-4-01_IGHJ1-03_48_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV2-4-01_IGHJ1-03_48_2.aln.fasta
24,IGHV1-66*01_IGHJ2*01_45_1,3,m11,pos_YFP,IGHV1-66-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-66-01_IGHJ2-01_45_1.aln.fasta
33,IGHV14-3*01_IGHJ1*03_48_1,3,m11,pos_YFP,IGHV14-3-01_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV14-3-01_IGHJ1-03_48_1.aln.fasta
73,IGHV1-36*01_IGHJ2*01_42_1,3,m11,pos_YFP,IGHV1-36-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-36-01_IGHJ2-01_42_1.aln.fasta
75,IGHV1-76*01_IGHJ4*01_48_1,3,m11,pos_YFP,IGHV1-76-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-76-01_IGHJ4-01_48_1.aln.fasta
76,IGHV4-1*01_IGHJ2*01_45_1,3,m11,pos_YFP,IGHV4-1-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV4-1-01_IGHJ2-01_45_1.aln.fasta
77,IGHV1-26*01_IGHJ3*01_30_1,3,m11,pos_YFP,IGHV1-26-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV1-26-01_IGHJ3-01_30_1.aln.fasta
82,IGHV9-4*01_IGHJ4*01_42_1,3,m11,pos_YFP,IGHV9-4-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV9-4-01_IGHJ4-01_42_1.aln.fasta
