,VJ.combi,count.seq,mouseID,analysis_type,filename,path
100,IGHV1-62_IGHJ3*02_27_1,2,m12,pos_YFP,IGHV1-62_IGHJ3-02_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-62_IGHJ3-02_27_1.aln.fasta
98,IGHV2-9_IGHJ4*01_18_1,2,m12,pos_YFP,IGHV2-9_IGHJ4-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV2-9_IGHJ4-01_18_1.aln.fasta
44,IGHV1-62_IGHJ2*01_33_1,2,m12,pos_YFP,IGHV1-62_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-62_IGHJ2-01_33_1.aln.fasta
45,IGHV1-62_IGHJ2*01_33_2,2,m12,pos_YFP,IGHV1-62_IGHJ2-01_33_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-62_IGHJ2-01_33_2.aln.fasta
52,IGHV3-6*01_IGHJ1*03_42_1,3,m12,pos_YFP,IGHV3-6-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV3-6-01_IGHJ1-03_42_1.aln.fasta
55,IGHV14-3*01_IGHJ4*01_42_1,3,m12,pos_YFP,IGHV14-3-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV14-3-01_IGHJ4-01_42_1.aln.fasta
56,IGHV1-74*01_IGHJ2*01_45_1,3,m12,pos_YFP,IGHV1-74-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-74-01_IGHJ2-01_45_1.aln.fasta
58,IGHV1-22*01_IGHJ3*01_33_1,3,m12,pos_YFP,IGHV1-22-01_IGHJ3-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-22-01_IGHJ3-01_33_1.aln.fasta
64,IGHV1-39*01_IGHJ2*01_51_1,3,m12,pos_YFP,IGHV1-39-01_IGHJ2-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-39-01_IGHJ2-01_51_1.aln.fasta
69,IGHV1-47*01_IGHJ1*03_45_1,3,m12,pos_YFP,IGHV1-47-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/pos_YFP_MIDs/m12_pos_YFP_IGHV1-47-01_IGHJ1-03_45_1.aln.fasta
