,VJ.combi,count.seq,mouseID,analysis_type,filename,path
118,IGHV1-42*01_IGHJ1*03_45_1,3,m13,pos_YFP,IGHV1-42-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-42-01_IGHJ1-03_45_1.aln.fasta
116,IGHV8-12*01_IGHJ1*03_57_1,3,m13,pos_YFP,IGHV8-12-01_IGHJ1-03_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV8-12-01_IGHJ1-03_57_1.aln.fasta
115,IGHV9-3*01_IGHJ3*01_39_1,3,m13,pos_YFP,IGHV9-3-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV9-3-01_IGHJ3-01_39_1.aln.fasta
114,IGHV6-3*01_IGHJ3*01_36_1,3,m13,pos_YFP,IGHV6-3-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV6-3-01_IGHJ3-01_36_1.aln.fasta
113,IGHV1-7*01_IGHJ3*01_45_1,3,m13,pos_YFP,IGHV1-7-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-7-01_IGHJ3-01_45_1.aln.fasta
112,IGHV1-26*01_IGHJ1*01_39_1,3,m13,pos_YFP,IGHV1-26-01_IGHJ1-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-26-01_IGHJ1-01_39_1.aln.fasta
111,IGHV1-22*01_IGHJ4*01_45_1,3,m13,pos_YFP,IGHV1-22-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-22-01_IGHJ4-01_45_1.aln.fasta
110,IGHV9-3*01_IGHJ2*01_36_1,3,m13,pos_YFP,IGHV9-3-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV9-3-01_IGHJ2-01_36_1.aln.fasta
109,IGHV1-64*01_IGHJ3*01_39_1,3,m13,pos_YFP,IGHV1-64-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-64-01_IGHJ3-01_39_1.aln.fasta
108,IGHV1-15*01_IGHJ2*01_27_1,3,m13,pos_YFP,IGHV1-15-01_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/pos_YFP_MIDs/m13_pos_YFP_IGHV1-15-01_IGHJ2-01_27_1.aln.fasta
