,VJ.combi,count.seq,mouseID,analysis_type,filename,path
84,IGHV2-9_IGHJ3*01_42_1,2,m42,pos_YFP,IGHV2-9_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV2-9_IGHJ3-01_42_1.aln.fasta
101,IGHV10-3*01_IGHJ2*01_33_1,3,m42,pos_YFP,IGHV10-3-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV10-3-01_IGHJ2-01_33_1.aln.fasta
99,IGHV9-4*01_IGHJ4*01_45_1,3,m42,pos_YFP,IGHV9-4-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV9-4-01_IGHJ4-01_45_1.aln.fasta
97,IGHV1-9*01_IGHJ2*01_42_1,3,m42,pos_YFP,IGHV1-9-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV1-9-01_IGHJ2-01_42_1.aln.fasta
96,IGHV1-81*01_IGHJ4*01_39_1,3,m42,pos_YFP,IGHV1-81-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV1-81-01_IGHJ4-01_39_1.aln.fasta
95,IGHV1-26*01_IGHJ2*01_33_1,3,m42,pos_YFP,IGHV1-26-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV1-26-01_IGHJ2-01_33_1.aln.fasta
94,IGHV14-2*01_IGHJ4*01_39_1,3,m42,pos_YFP,IGHV14-2-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV14-2-01_IGHJ4-01_39_1.aln.fasta
92,IGHV1-53*01_IGHJ3*01_18_1,3,m42,pos_YFP,IGHV1-53-01_IGHJ3-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV1-53-01_IGHJ3-01_18_1.aln.fasta
91,IGHV1-39*01_IGHJ3*01_36_1,3,m42,pos_YFP,IGHV1-39-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV1-39-01_IGHJ3-01_36_1.aln.fasta
89,IGHV5-9*01_IGHJ3*01_54_1,3,m42,pos_YFP,IGHV5-9-01_IGHJ3-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV5-9-01_IGHJ3-01_54_1.aln.fasta
